date,away_team,away_pts,home_team,home_pts,home_win,season
,Brooklyn Nets,104,Milwaukee Bucks,127,1,2022
,Golden State Warriors,121,Los Angeles Lakers,114,0,2022
,Indiana Pacers,122,Charlotte Hornets,123,1,2022
,Chicago Bulls,94,Detroit Pistons,88,0,2022
,Boston Celtics,134,New York Knicks,138,1,2022
,Washington Wizards,98,Toronto Raptors,83,0,2022
,Cleveland Cavaliers,121,Memphis Grizzlies,132,1,2022
,Houston Rockets,106,Minnesota Timberwolves,124,1,2022
,Philadelphia 76ers,117,New Orleans Pelicans,97,0,2022
,Orlando Magic,97,San Antonio Spurs,123,1,2022
,Oklahoma City Thunder,86,Utah Jazz,107,1,2022
,Sacramento Kings,124,Portland Trail Blazers,121,0,2022
,Denver Nuggets,110,Phoenix Suns,98,0,2022
,Dallas Mavericks,87,Atlanta Hawks,113,1,2022
,Milwaukee Bucks,95,Miami Heat,137,1,2022
,Los Angeles Clippers,113,Golden State Warriors,115,1,2022
,New York Knicks,121,Orlando Magic,96,0,2022
,Indiana Pacers,134,Washington Wizards,135,1,2022
,Charlotte Hornets,123,Cleveland Cavaliers,112,0,2022
,Toronto Raptors,115,Boston Celtics,83,0,2022
,Brooklyn Nets,114,Philadelphia 76ers,109,0,2022
,Oklahoma City Thunder,91,Houston Rockets,124,1,2022
,New Orleans Pelicans,112,Chicago Bulls,128,1,2022
,San Antonio Spurs,96,Denver Nuggets,102,1,2022
,Phoenix Suns,115,Los Angeles Lakers,105,0,2022
,Utah Jazz,110,Sacramento Kings,101,0,2022
,Atlanta Hawks,95,Cleveland Cavaliers,101,1,2022
,Miami Heat,91,Indiana Pacers,102,1,2022
,Dallas Mavericks,103,Toronto Raptors,95,0,2022
,Detroit Pistons,82,Chicago Bulls,97,1,2022
,New Orleans Pelicans,89,Minnesota Timberwolves,96,1,2022
,Milwaukee Bucks,121,San Antonio Spurs,111,0,2022
,Phoenix Suns,105,Portland Trail Blazers,134,1,2022
,Memphis Grizzlies,120,Los Angeles Clippers,114,0,2022
,Charlotte Hornets,111,Brooklyn Nets,95,0,2022
,Boston Celtics,107,Houston Rockets,97,0,2022
,Orlando Magic,110,New York Knicks,104,0,2022
,Philadelphia 76ers,115,Oklahoma City Thunder,103,0,2022
,Golden State Warriors,119,Sacramento Kings,107,0,2022
,Memphis Grizzlies,118,Los Angeles Lakers,121,1,2022
,Boston Celtics,140,Charlotte Hornets,129,0,2022
,Milwaukee Bucks,119,Indiana Pacers,109,0,2022
,Chicago Bulls,111,Toronto Raptors,108,0,2022
,Orlando Magic,90,Miami Heat,107,1,2022
,Washington Wizards,90,Brooklyn Nets,104,1,2022
,Detroit Pistons,104,Atlanta Hawks,122,1,2022
,New Orleans Pelicans,107,Minnesota Timberwolves,98,0,2022
,Cleveland Cavaliers,99,Denver Nuggets,87,0,2022
,Portland Trail Blazers,86,Los Angeles Clippers,116,1,2022
,Philadelphia 76ers,99,New York Knicks,112,1,2022
,Golden State Warriors,106,Oklahoma City Thunder,98,0,2022
,Los Angeles Lakers,125,San Antonio Spurs,121,0,2022
,Houston Rockets,106,Dallas Mavericks,116,1,2022
,Denver Nuggets,110,Utah Jazz,122,1,2022
,Charlotte Hornets,120,Orlando Magic,111,0,2022
,Washington Wizards,116,Boston Celtics,107,0,2022
,Miami Heat,106,Brooklyn Nets,93,0,2022
,Indiana Pacers,100,Toronto Raptors,118,1,2022
,Atlanta Hawks,102,New Orleans Pelicans,99,0,2022
,Minnesota Timberwolves,113,Milwaukee Bucks,108,0,2022
,Los Angeles Lakers,115,Oklahoma City Thunder,123,1,2022
,Sacramento Kings,110,Phoenix Suns,107,0,2022
,Memphis Grizzlies,96,Portland Trail Blazers,116,1,2022
,Cleveland Cavaliers,92,Los Angeles Clippers,79,0,2022
,Atlanta Hawks,111,Washington Wizards,122,1,2022
,Detroit Pistons,102,Philadelphia 76ers,110,1,2022
,Utah Jazz,122,Houston Rockets,91,0,2022
,New York Knicks,104,Chicago Bulls,103,0,2022
,San Antonio Spurs,99,Dallas Mavericks,104,1,2022
,Memphis Grizzlies,104,Golden State Warriors,101,0,2022
,Orlando Magic,109,Toronto Raptors,110,1,2022
,Charlotte Hornets,99,Miami Heat,114,1,2022
,Indiana Pacers,98,Brooklyn Nets,105,1,2022
,Sacramento Kings,113,New Orleans Pelicans,109,0,2022
,Dallas Mavericks,75,Denver Nuggets,106,1,2022
,Los Angeles Clippers,92,Portland Trail Blazers,111,1,2022
,Cleveland Cavaliers,101,Los Angeles Lakers,113,1,2022
,Boston Celtics,112,Washington Wizards,115,1,2022
,Orlando Magic,103,Detroit Pistons,110,1,2022
,New York Knicks,123,New Orleans Pelicans,117,0,2022
,Toronto Raptors,97,Indiana Pacers,94,0,2022
,Atlanta Hawks,94,Philadelphia 76ers,122,1,2022
,Utah Jazz,99,Chicago Bulls,107,1,2022
,Miami Heat,129,Memphis Grizzlies,103,0,2022
,San Antonio Spurs,102,Milwaukee Bucks,93,0,2022
,Oklahoma City Thunder,82,Golden State Warriors,103,1,2022
,Denver Nuggets,93,Minnesota Timberwolves,91,0,2022
,Cleveland Cavaliers,92,Phoenix Suns,101,1,2022
,Sacramento Kings,99,Dallas Mavericks,105,1,2022
,Portland Trail Blazers,113,Charlotte Hornets,125,1,2022
,Utah Jazz,107,Milwaukee Bucks,95,0,2022
,Detroit Pistons,91,Brooklyn Nets,117,1,2022
,Houston Rockets,85,Los Angeles Lakers,95,1,2022
,Cleveland Cavaliers,113,Charlotte Hornets,110,0,2022
,San Antonio Spurs,118,Indiana Pacers,131,1,2022
,Portland Trail Blazers,103,Philadelphia 76ers,113,1,2022
,Washington Wizards,111,Atlanta Hawks,118,1,2022
,Chicago Bulls,128,Boston Celtics,114,0,2022
,Toronto Raptors,113,New York Knicks,104,0,2022
,Denver Nuggets,97,Memphis Grizzlies,106,1,2022
,Orlando Magic,115,Minnesota Timberwolves,97,0,2022
,Oklahoma City Thunder,94,Los Angeles Clippers,99,1,2022
,Milwaukee Bucks,117,Detroit Pistons,89,0,2022
,Miami Heat,125,Dallas Mavericks,110,0,2022
,Sacramento Kings,113,Utah Jazz,119,1,2022
,New Orleans Pelicans,100,Phoenix Suns,112,1,2022
,Houston Rockets,117,Los Angeles Lakers,119,1,2022
,Portland Trail Blazers,104,Cleveland Cavaliers,107,1,2022
,New York Knicks,98,Indiana Pacers,111,1,2022
,Boston Celtics,92,Orlando Magic,79,0,2022
,Chicago Bulls,98,Philadelphia 76ers,103,1,2022
,Toronto Raptors,109,Washington Wizards,100,0,2022
,Atlanta Hawks,108,Brooklyn Nets,117,1,2022
,Denver Nuggets,106,Memphis Grizzlies,108,1,2022
,Los Angeles Clippers,126,Minnesota Timberwolves,115,0,2022
,Dallas Mavericks,109,San Antonio Spurs,108,0,2022
,Charlotte Hornets,92,Golden State Warriors,114,1,2022
,New Orleans Pelicans,99,Sacramento Kings,112,1,2022
,Philadelphia 76ers,109,Detroit Pistons,98,0,2022
,Utah Jazz,116,Atlanta Hawks,98,0,2022
,Boston Celtics,95,Miami Heat,78,0,2022
,Houston Rockets,111,Phoenix Suns,123,1,2022
,Oklahoma City Thunder,107,Los Angeles Lakers,104,0,2022
,Brooklyn Nets,96,Detroit Pistons,90,0,2022
,San Antonio Spurs,102,Orlando Magic,89,0,2022
,Memphis Grizzlies,87,Washington Wizards,115,1,2022
,New York Knicks,113,Milwaukee Bucks,98,0,2022
,Cleveland Cavaliers,102,Toronto Raptors,101,0,2022
,Los Angeles Clippers,104,Minnesota Timberwolves,84,0,2022
,New Orleans Pelicans,85,Golden State Warriors,126,1,2022
,Indiana Pacers,106,Portland Trail Blazers,110,1,2022
,Charlotte Hornets,110,Sacramento Kings,140,1,2022
,Houston Rockets,94,Denver Nuggets,95,1,2022
,Utah Jazz,115,Miami Heat,118,1,2022
,Philadelphia 76ers,114,Chicago Bulls,105,0,2022
,Boston Celtics,104,Dallas Mavericks,107,1,2022
,Atlanta Hawks,117,Phoenix Suns,121,1,2022
,Los Angeles Lakers,90,Portland Trail Blazers,105,1,2022
,Brooklyn Nets,116,Toronto Raptors,103,0,2022
,Cleveland Cavaliers,126,New York Knicks,109,0,2022
,Utah Jazz,100,Orlando Magic,107,1,2022
,Indiana Pacers,94,Sacramento Kings,91,0,2022
,Milwaukee Bucks,94,Washington Wizards,101,1,2022
,San Antonio Spurs,94,Oklahoma City Thunder,99,1,2022
,Houston Rockets,107,Golden State Warriors,120,1,2022
,Charlotte Hornets,106,Los Angeles Clippers,120,1,2022
,New York Knicks,103,Philadelphia 76ers,96,0,2022
,Brooklyn Nets,95,Chicago Bulls,118,1,2022
,Minnesota Timberwolves,118,Memphis Grizzlies,125,1,2022
,New Orleans Pelicans,92,Dallas Mavericks,108,1,2022
,Miami Heat,96,Denver Nuggets,113,1,2022
,Atlanta Hawks,113,Golden State Warriors,127,1,2022
,Phoenix Suns,109,Sacramento Kings,104,0,2022
,Charlotte Hornets,123,Los Angeles Lakers,126,1,2022
,Milwaukee Bucks,118,Philadelphia 76ers,109,0,2022
,Atlanta Hawks,98,Utah Jazz,110,1,2022
,Portland Trail Blazers,109,Los Angeles Clippers,117,1,2022
,Washington Wizards,97,Cleveland Cavaliers,94,0,2022
,Brooklyn Nets,123,Orlando Magic,90,0,2022
,Toronto Raptors,88,Boston Celtics,104,1,2022
,Detroit Pistons,112,Houston Rockets,104,0,2022
,Milwaukee Bucks,112,New York Knicks,100,0,2022
,Dallas Mavericks,107,Chicago Bulls,117,1,2022
,Charlotte Hornets,118,Memphis Grizzlies,108,0,2022
,Oklahoma City Thunder,108,New Orleans Pelicans,100,0,2022
,Sacramento Kings,117,San Antonio Spurs,136,1,2022
,Indiana Pacers,98,Denver Nuggets,101,1,2022
,Portland Trail Blazers,109,Phoenix Suns,119,1,2022
,Minnesota Timberwolves,110,Golden State Warriors,123,1,2022
,Miami Heat,117,Los Angeles Lakers,120,1,2022
,Toronto Raptors,115,Philadelphia 76ers,109,0,2022
,Indiana Pacers,111,Utah Jazz,100,0,2022
,Miami Heat,109,Los Angeles Clippers,112,1,2022
,New York Knicks,96,Charlotte Hornets,104,1,2022
,Milwaukee Bucks,113,Boston Celtics,122,1,2022
,Detroit Pistons,78,Cleveland Cavaliers,98,1,2022
,Portland Trail Blazers,104,Houston Rockets,92,0,2022
